OLASI SORULAR - PINAR AGENT 35 YAŞINDA ATİNADA YAŞIYOR,CEVAPLAR 
Yunanistan’da Ortalama Maaşlar,Ortalama aylık maaşlar genellikle 1.000 – 2.500 Euro arasındadır.
Tapuda mülk değeri satış bedelinden düşük görünürse oturum reddedilir mi?,
Tapu işleminden sonra belediye vergileri otomatik mi başlar?,Mülkü satın aldıktan sonra Tapu kadastro'ya sizin adınıza mülkü işlettikten sonra işlemler sizin adınıza devam edecektir
Yunanistan’da Yaşamanın Eksileri,Yunanistanda yaşamanın en kötü yanı herşey çok yavaş işler özellikle devlet kurumları çok yavaştır
Satın alınan mülkü başkası kirada kullanıyorsa sorun olur mu?,Hayır olmaz. Satın aldığınız mülkü kiraya vermeniz halinde kiracınız kullanacaktır. Bu da oturum izni ile alakalı kanuni bir sorun yaratmaz
Yunanistan için vize gerekli mi ? ,"Yunanistan, Schengen Bölgesi ülkesi olduğu için Schengen vizesi gerektirmektedir."
Mülkün değeri zamanla artarsa ek avantaj sağlar mı?,Mülkünüzün değeri artmış olur. Bu durum size başka bir ek imkan sağlamaz
Mühendis alacağım mülkü nasıl kontrol ediyor ?,"Teknik Kontrol Satın alınan emlak ile ilgili kontrol inşaat mühendisi veya mimarlar tarafından yapılmaktadır. Satın alınacak emlak ticari bedeli , imar yönetmeliği kontrolü , teknik olarak aldığınız mülkün kalitesi kontrol edilmektedir. İmar planı içinde veya imar planı dışında alınacak mülkün, ormanlık veya sit alanı arkeolojik alan olup olmadığı mutlaka kontrol edilmelidir."
5 yıl sonra oturum yenilenirken mülkü değiştirebilir miyim?,Satın aldığınız mülkü  değiştirmeniz halinde oturumunuz düşer
Yunanistan’da mülk satışı sırasında alıcıya Golden Visa hakkı devredilebilir mi?,Mülkünüzü satmanız halinde satın alan kişiye oturum izni hakkınızı devredemezsiniz
Mülk alımından sonra ikamet zorunluluğu var mı?,Yunanistan oturum izni programında ikamet zorunluluğu yoktur ne kadar zaman isterseniz o kadar zaman Yunanistanda kalabilirsiniz 
Birden fazla ülkeye yatırım yaptıysam hepsi Golden Visa sayılır mı?,Her ülkede ayrı ayrı oturum izni programları bulunmaktadır. Her ülkede yaptığınız yatırımlar o ülkeyi bağlar . 
Yunanistan dışındaki mülkler (örneğin Kıbrıs veya Bulgaristan) geçerli olur mu?,Hayır sadece Yunanistan'dan satın aldığnız mülkler ile oturum izni alabilirsiniz 
Yunanistan’da mülk miras kalırsa oturum izni alınabilir mi?,Mülkün mirasa girmesi halinde oturum izni düşecektir
Mülkü miras bırakırsam mirasçılar oturum hakkı kazanır mı?,Mülkün mirasa girmesi halinde oturum izni düşecektir
Satın aldığım mülkün bakımını kim yapacak?,Ücreti karşılığında aldığınız mülk ile ilgili tüm konuları ve vergisel sorumluluklarınızın hepsini üstleniyoruz. 
Mülk yönetimi (property management) hizmeti veriyor musunuz?,Ücreti karşılığında aldığınız mülk ile ilgili tüm konuları ve vergisel sorumluluklarınızın hepsini üstleniyoruz. 
Mülk uzun süre boş kalırsa bakım veya güvenlik için ne yapılmalı?,Satın aldığınız mülkü kullanmayacaksanız kiraya vermeniz en mantıklısıdır
"Bahçe, havuz veya apartman giderleri nasıl takip edilir?",Mülkü satın alma işleminden sonra talep etmeniz halinde Firmamız sizin adınıza mülkünüzün yönetimini üstlenlenmektedir. Evle ilgili yapılması gereken yada ödenmesi gereken borçların takibini Firmamız yapmaktadır.
dikkat edilmesi gereken hususlar ,Başvuru Süreci ve Biyometrik İşlemler Tüm belgeler tamamlandıktan sonra avukat aracılığıyla başvuru yapılabilir.Başvurudan sonra geçici oturum izni (Blue Certificate) alınır. Biyometrik veri (parmak izi ve fotoğraf) vermek için bir yıl içinde Yunanistan’a gelmek gerekir. Aile bireylerinin hepsi aynı anda gelmek zorunda değildir; farklı zamanlarda da biyometrik işlem verebilirler.
Aidatlar nasıl ödenir ve kim takip eder?,Mülkünüzü sizin adınıza işletmemizi isterseniz bütün masrafların takibini Firmamız yapmaktadır
Bu hizmetlerin isim değişikliği (devir işlemleri) nasıl yapılır?,Firmamıza vereceğiniz bir vekaletname ile Yunanistana gelmenize gerek kalmadan sizin adınıza devir işlemlerinizi Firmamız yapacaktır
"Mülk için sigorta yaptırmak zorunlu mu, önerilen planlar neler?",Satın aldığınız mülk için sigorta yaptırma zorunluluğunuz bulunmamaktadır
"Hasar, su baskını veya arıza durumunda nasıl bir destek alınır?","Mülkünüzü sizin adınıza işletmemiz halinde konunun çözümü için ekiplerimiz sorunu tespit edip, yapılması gerekeni sizinle paylaştıktan sonra birlikte vereceğiniz karar doğrultusunda çözümlenecektir"
Uzaktan mülk yönetimi için dijital sistem veya temsilci hizmeti var mı?,Evet firmamız tarafından mülkünüzü işletmemizi istemeniz halinde size bu hizmeti vermekteyiz
Emlak vergisi (ENFIA) her yıl nasıl ödenir?,Her sene emlak vergisi ödemenizi takip etmemizi isteyip istemediğinize dair size bir yazı göndereceğiz ve talep etmeniz halinde tahakkukları verip size ödemeniz gereken miktarı bildireceğiz ve daha sonrasında ödemeler firmamız tarafından yapılıp size makbuzları göndereceğiz
Vergi bildirimi (annual tax declaration) için kim sorumludur?,Vergi bildirimleri mülk sahibi adına yapılır. Bu nedenle sorumluluk mülk sahibine aittir.
Mülkü kiraya verirsem kira gelir vergisi nasıl beyan edilir?,her sene temmuz ayında vergi bildirimini yapmanız gerekir . bu konuyu yunanistanda muhasebeciler üstlenir . yönetimini üstlendiğimiz müşterilerimizin vergi beyan ve tüm vergi işlerini biz üstleniyoruz 
mülk yönetimi property management konularında hangi konuları üstleniyorsunuz ,"İç tasarım ve mobilya:
Ev ekipmanları ve mobilyalarının satın alınmasıyla ilgili tüm süreçleri üstleniyoruz; siparişlerin ve ödemelerin takibi, teslimat ve montaj işlemlerinin tamamını biz gerçekleştiriyoruz.

Mülk bakımı ve denetimi:
Mülkün teknik durumunu düzenli olarak takip ediyor, her zaman iyi ve sorunsuz bir durumda kalmasını sağlıyoruz.

Kamu hizmetlerinin bağlantısı ve yenilenmesi:
Elektrik, su, internet ve telefon gibi kamu hizmetlerinin bağlantı ve yenileme işlemlerini yürütüyoruz.

Fatura, vergi ödemeleri ve posta takibi:
Sigorta ve vergi işlemleriyle ilgileniyoruz; vergi beyannamelerinin hazırlanması, emlak vergisi, elektrik, su, telefon, internet ve bina aidatı gibi tüm faturaların ödenmesini sağlıyoruz. Ayrıca, vergiler veya ücretlerdeki değişikliklerle ilgili resmi bildirimleri de takip ediyoruz."
Yunanistan’daki muhasebeciyle iletişim nasıl kurulur?,
kira işleri ile ilgili verdiğimiz hizmetler nelerdir ,"Kiracı değerlendirmesi:
Her potansiyel kiracının kira ve kredi geçmişini, mevcut iş durumunu ve beyan ettiği gelirini dikkatlice inceliyoruz. Bu sayede ödeme geçmişini ve mülke gösterdiği özeni doğruluyoruz.

Kira sözleşmesi:
Kiraya ilişkin gerekli evrakları biz hazırlıyoruz. Tüm belgelerin her iki tarafça imzalanmasını sağlayarak sürecin sorunsuz ilerlemesini güvence altına alıyoruz.

Kira tahsilatı:
Kira sözleşmesinde belirtilen şekilde kiraların tahsil edilmesi bizim sorumluluğumuzdadır.

Aboneliklerin devri:
Yeni kiracının elektrik, telefon, su, doğalgaz gibi tüm hizmet aboneliklerini kendi adına devralmasına yardımcı oluyoruz. Böylece mülk sahiplerinin üzerine gereksiz masraf çıkmasını önlüyoruz.

Bakım ve onarım:
Mülkün her zaman iyi durumda kalmasını sağlamak amacıyla gerekli teknik destek ve onarım hizmetlerini sağlıyoruz.

Yönetim denetimi:
Her yıl mülkü detaylı bir şekilde denetliyor, gerekirse iyileştirme önerilerinde bulunuyoruz. Bu sayede mülkünüzün sürekli olarak iyi durumda olduğundan emin olabilirsiniz.

Muhasebe hizmetleri:
Mülkünüzle ilgili gelir ve giderleri gösteren aylık detaylı hesap dökümleri sunuyoruz."
Vergi takibi ve yıllık raporlar için destek sağlanıyor mu?,"Vergi takibi ve yıllık raporlama süreçleri Mülk Yönetimi Departmanımız tarafından titizlikle yürütülmektedir. Ekiplerimiz, mülk sahiplerinin yıllık emlak vergileri (ENFIA), belediye vergileri ve ilgili beyan süreçlerinin zamanında ve doğru şekilde tamamlanması konusunda tam destek sağlamaktadır. Ayrıca, talep eden yatırımcılarımıza yıllık gelir–gider raporları da düzenli olarak iletilmektedir."
dikkat edilmesi gereken hususlar ,"Aile Üyeleri

Eş, 21 yaş altı çocuklar ve her iki tarafın ebeveynleri oturum izninden faydalanabilir.

Çocuk 21 yaşını geçtiğinde, oturum izni bağımsız hale getirilebilir veya yenilenme döneminde güncellenir."
Mülkü satın aldıktan sonra belediye kayıtları otomatik güncelleniyor mu?,
"Banka hesabım açık kalmalı mı, yıllık masrafı var mı?","Biz işlemlerimizi Optima Bank aracılığıyla yürütüyoruz. Optima Bank, hesap açılış veya hesap işletim ücreti almamaktadır. Bu nedenle yatırımcılarımız ek bir bankacılık maliyetiyle karşılaşmadan hesap açma ve kullanma işlemlerini rahatlıkla gerçekleştirebilmektedir."
"Mülkle ilgili ödemeleri (vergi, aidat, sigorta) sizin ekibiniz takip edebilir mi?",Firmamız satış sonrasında talep etmeniz halinde mülkünüzle ilgili her türlü işlemi ve ödemeyi sizin adınıza yapmaktadır. 
"Mülk kiraya verilebilir mi, nasıl bir süreç izlenir?","Yunanistan’da oturum izni kapsamında satın aldığınız mülk kiralanabilir. Bu konuda herhangi bir kısıtlama bulunmamaktadır. Kiralama süreci, mülkün türüne ve kullanım amacına göre düzenlenir. Kira sözleşmeleri resmi olarak hazırlanır ve Yunan vergi dairesine beyan edilir. Bu şekilde hem yasal güvence sağlanır hem de kira gelirleri resmi kayıt altına alınır. Dilerseniz, kiralama sürecinin tüm adımlarını — kiracı seçimi, sözleşme hazırlanması, vergi beyanı ve gelir takibi dahil — ekibimiz sizin adınıza profesyonel şekilde yönetebilir."
Uzun dönemli kiralama mı yoksa kısa dönemli (Airbnb) kiralama mı önerilir?,Yeni yürürlüğe giren yasa ile satın alacağınız mülkü Airbnb tarzında kısa süreli kiralama imkanınız bulunmamaktadır. Bu nedenle uzun dönem kiralamak en mantıklı seçenektir
Kiralama için yasal izin veya lisans gerekiyor mu?,Mülkü satın aldıktantan sonra Avukatımıza vereceğiniz yetki ile sizin adınıza kiralama yapabilir ve işlemleri takip edebiliriz
Kira sözleşmesi kim tarafından hazırlanır?,Kira sözleşmesi mutlaka ama mutlaka bir avukat tarafından hazırlanmalıdır. Kira kontratınızı mülk alımında kullandığınız size destek veren avukat yapabilir. 
Kiracının ödemelerini kim takip eder?,"Kiracıların kira ödemeleri ve aidat takibi, şirketimizin Mülk Yönetimi Departmanı tarafından düzenli olarak yürütülmekte ve denetlenmektedir. Bu sayede tüm finansal süreçler kontrol altında tutulur, mülk sahipleri hiçbir detayla uğraşmadan ödemelerin zamanında ve eksiksiz şekilde yapıldığından emin olur."
Kira gelirleri Yunanistan’daki hesaba mı yatırılır?,"Kira gelirlerinin doğrudan Türkiye’deki banka hesaplarına gönderilmesi durumunda, uluslararası transfer komisyonları oldukça yüksek olabilmektedir. Bu nedenle birçok kiracı, ödemelerini Yunanistan’daki banka hesapları üzerinden yapmayı tercih etmektedir. Bu yöntem, hem masrafları azaltır hem de ödeme sürecinin daha hızlı ve sorunsuz ilerlemesini sağlar."
"Kiralama sonrası temizlik, bakım gibi hizmetleri kim sağlar?",Kiralama sonrasında evin temizlik ve demirbaş haricindeki giderlerini kiracı yapar
Oturum izni yenileme zamanı geldiğinde size bilgi veriliyor mu?,Oturum izinlerinin bitiş tarihleri şirketimizin kullandığı intranet sistemi üzerinden düzenli olarak takip edilmektedir. Bu sayede yenileme süreçleri zamanında başlatılır ve müşterilerimizin oturum izinlerinde herhangi bir kesinti yaşanmadan süreç devam ettirilir.
Yenileme işlemleri için tekrar Yunanistan’a gelmek gerekir mi?,"Oturum izni yenileme işlemleri için başvuru sahibinin Yunanistan’a gelmesi gerekmektedir. Yenileme sürecinde biyometrik verilerin (parmak izi, fotoğraf, imza) yeniden alınması zorunludur. Bu işlem, yalnızca Yunanistan’daki göç ofislerinde (Aliens & Immigration Office) yapılabildiği için şahsen katılım gerektirir. Diğer tüm evrak hazırlığı ve başvuru süreci ise ekibimiz tarafından önceden tamamlanarak, işlemlerin hızlı ve sorunsuz ilerlemesi sağlanır."
Yenileme sırasında mülkle ilgili hangi belgeler istenir?,Mülkünüzle ilgili yenileme yaparsanız oturum izniniz düşer
Mülk satılsa bile oturum izni nasıl korunabilir?,Yunanistan oturum izni için alınan mülk satılırsa oturum izniniz düşer 
Yeni yatırım yaptığımda mevcut iznimi nasıl güncellerim?,Oturum izninizi aldıktan sonra yapacağınız yeni yatırımlar için bildirimde bulunma zorunluluğunuz bulunmamaktadır
Aile üyelerinin oturum izinleri de otomatik yenilenir mi?,Otomatik yenileme süreci bulunmamaktadır. Bütün yenilemeler başvuru esasına göre gerçekleştirilir. Başvuru avukatınız tarafından yapılır 
"Mülk sigortası, vergi veya bakım konularında vekaletle işlem yapılabilir mi?",Türkiyeden vereceğiniz yada Yunanistana geldiğinizde Noterden hazırlanacak vekaletname ile sizin adınıza her türlü işlemi  Firmamız yapabilmektedir
Avukat veya danışman hizmeti satış sonrası da devam eder mi?,"Talep etmeniz halinde belli bir ücret karşılığında mülkünüzle alakalı işlemler sizin adınıza takip edilip, sorunlu bir işlem olması halinde çözüme kavuşturulacaktır"
Yunanistan’daki resmi yazışmalar (örneğin belediye veya vergi dairesi mektupları) size ulaştığında nasıl bilgilendiriliyorum?,Bize gelen yazışmalar için sizi bilgilendiriyoruz
Tapuda bir hata tespit edilirse düzeltme işlemini kim yapar?,"Tapu kayıtlarında veya satış sözleşmesinde herhangi bir hata tespit edilmesi durumunda, düzeltme işlemi hatanın niteliğine göre ilgili uzman tarafından yapılır. Teknik bir hata söz konusuysa gerekli düzeltme mühendisin kontrolünde gerçekleştirilir; hukuki veya belge kaynaklı bir hata ise noter tarafından düzenlenir. Noter, yapılan düzeltmeyi resmî olarak tapuya veya satış sözleşmesine işler ve ilgili kayıtlar güncellenir. Böylece tüm belgeler yasal olarak doğru ve geçerli hale getirilir."
Satış sonrası ek hizmet ücretleri nasıl belirleniyor?,Satış sonrası mülkünüzü yönetmemiz için Firmamıza yapmanız gereken ücret aylık 25 euro + KDV'dir
Mülkü ileride satmak istersem aynı danışmanlık ekibi satış sürecini de yürütür mü?,Mülkünüzü satmak isterseniz Gayrimenkul Danışmanlık Firması olarak size yine yardımcı oluruz
"Elektrik, su, internet gibi hizmetlerin fatura takibini kim yapar?","Elektrik, su, internet gibi tüm hizmetlerin fatura takibi ve ödemeleri şirketimizin Mülk Yönetimi Departmanı tarafından düzenli olarak yürütülmektedir. Bu sayede tüm abonelikler aktif tutulur ve ödemelerde herhangi bir aksama yaşanmaz."
Yunanistan’da banka hesabı üzerinden otomatik ödeme talimatı verilebilir mi?,Yunanistanda bankada sizin adınıza hesap açıldıktan sonra otomatik ödeme talimatı verebilirsiniz
Mülk adresini ikamet adresim olarak gösterebilir miyim?,Yunanistana taşınmanız halinde ikametgahınızı Yunanistana taşımanız mümkündür
Yerel belediye vergileri veya çevre katkı payı gibi ek ödemeler var mı?,Yunanistanda yılda birkez emlak vergisi ödemesi yaparsınız. Ayrıca mülkünüzü kiraya vermeniz halinde gelir vergisi ödersiniz. Bu vergilerin haricinde mülkü satın aldıktan sonra vergi ödemeleriniz olmayacaktır
Komşularla veya bina yönetimiyle iletişimde destek sağlanıyor mu?,Mülkü satın aldıktan sonra talep etmeniz halinde evinizin işletimini devralıp apartman yönetimi ile iletişime geçeriz. Ancak komşularla ilgili sizin yada onun sizin mülkünüze zarar vermesi halinde iletişime geçebiliriz
